strdate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
30/5/2025,,,,,,,11.628,11.608,11.733,,,
29/5/2025,,,,,,,11.866,11.914,12.001,,,
28/5/2025,,,,,,,11.972,12.066,12.162,,,
27/5/2025,,,,,,,12.044,12.161,12.259,,,
26/5/2025,,,,,,,12.2,12.301,12.39,,,
23/5/2025,,,,,,,11.941,12.049,12.136,,,
22/5/2025,,,,,,,12.125,12.259,12.35,,,
21/5/2025,,,,,,,12.178,12.283,12.355,,,
20/5/2025,,,,,,,11.732,11.83,11.921,,,
19/5/2025,,,,,,,11.34,11.444,11.562,,,
16/5/2025,,,,,,,11.492,11.612,11.732,,,
15/5/2025,,,,,,11.165,11.259,11.365,,,,
14/5/2025,,,,,,11.277,11.437,11.517,,,,
13/5/2025,,,,,,11.236,11.31,11.438,,,,
12/5/2025,,,,,,11.396,11.545,11.633,,,,
9/5/2025,,,,,,11.313,11.471,11.604,,,,
8/5/2025,,,,,,11.167,11.308,11.442,,,,
7/5/2025,,,,,,11.024,11.111,11.261,,,,
6/5/2025,,,,,,10.874,10.927,11.08,,,,
30/4/2025,,,,,,10.294,10.369,10.558,,,,
29/4/2025,,,,,,10.137,10.228,10.401,,,,
28/4/2025,,,,,,10.288,10.278,10.412,,,,
25/4/2025,,,,,,10.578,10.632,10.787,,,,
24/4/2025,,,,,,10.659,10.749,10.9,,,,
23/4/2025,,,,,,11.088,11.16,11.327,,,,
22/4/2025,,,,,,11.477,11.617,11.803,,,,
21/4/2025,,,,,,11.686,11.755,11.876,,,,
17/4/2025,,,,,,11.614,11.725,11.871,,,,
16/4/2025,,,,,,11.103,11.253,11.44,,,,
15/4/2025,,,,,10.98,11.014,11.221,,,,,
14/4/2025,,,,,10.726,10.799,10.99,,,,,
9/4/2025,,,,,10.901,10.722,10.901,,,,,
7/4/2025,,,,,10.829,10.994,11.231,,,,,
3/4/2025,,,,,12.09,12.173,12.407,,,,,
28/3/2025,,,,,12.319,12.409,12.613,,,,,
24/3/2025,,,,,12.545,12.692,12.899,,,,,
20/3/2025,,,,,13.29,13.368,13.54,,,,,
17/3/2025,,,,,12.737,12.857,13.009,,,,,
13/3/2025,,,,12.803,12.789,12.846,,,,,,
10/3/2025,,,,12.3,12.379,12.494,,,,,,
7/3/2025,,,,11.674,11.754,11.899,,,,,,
3/3/2025,,,,13.217,13.198,13.351,,,,,,
28/2/2025,,,,13.264,13.303,13.445,,,,,,
27/2/2025,,,,12.717,12.652,12.787,,,,,,
